,,,LALANDER 4 Building General Expenses sheet,,,,,,,,
,,,جدول عمومی مصارفات تعمیر للندر 4,,,,,,,,
ملاحظات,مجموع مصارفات به دالر,مصارف افغانی+ دالری,مصرف دالری,نرخ اسعار,مجموع بیلانس افغانی,مصرف افغانی ,کتگوری,توضیحات,تاریخ,شماره ,
Remarks,Total Expenses by USD,AFN+USD,USD,Exchange Rate,مجموع بیلانس افغانی,AFN,,Discretion,DATE,S/N,
,$118 ,$118.47 ,,$72.00 ,"AFN 8,530","AFN 8,530",,پرداخت برای سمیع الله اکاخیل بابت اخذ کارت زرد و کارمندان ناحیه سوم برای اعمار تعمیرللندر 4,28-Mar-24,1,
,$394 ,$275.97 ,,$72.40 ,"AFN 28,510","AFN 19,980",,"پرداخت برای کندن کاری چاه جذبی, پائین کردن 27 حلقه چک,اجرت ساخت فلتر,چای صبح و نان چاشت سه نفر کاریگر,سرپوش سمنتی , ریگ و سمنت و پرداخت کرای موتر بابت انتقال چک های سمنتی به للندر 4",26-Apr-24,2,
,$894 ,$500.00 , $500 ,$70.60 ,"AFN 28,510",AFN 0,,خریداری یک میل سلاح کمری به رئیس مجوز ساختمانا بابت امر تعمیرللندر 4,22-Jul-24,3,
,"$1,037 ",$142.35 ,,$70.60 ,"AFN 38,560","AFN 10,050",,پرداخت برای مهمانی کارمندان ناحیه سوم بابت امر تعمیرللندر 4,22-Jul-24,4,
,"$1,108 ",$71.39 ,,$70.60 ,"AFN 43,600","AFN 5,040",,"خریداری تیل پطرول به موتر , خریداری پایپ 1"" به چاه عمیق تعمیرللند4",22-Jul-24,5,
,"$1,391 ",$283.29 ,,$70.60 ,"AFN 63,600","AFN 20,000",,پیش پرداخت برای زرین جان بابت چاه عمیق تعمیرللندر4 ,22-Jul-24,6,
,"$1,611 ",$219.55 ,,$70.60 ,"AFN 79,100","AFN 15,500",,"پرداخت برای خریداری خاک لوگر ,کرای یکطرفه رادها و خریداری پلاستیک به تعمیرللندر 4",22-Jul-24,7,
