,,,LALANDER 6 Building General Expenses sheet,,,,,,,,,,
,,,جدول عمومی مصارفات تعمیر للندر 6,,,,,,,,,,
ملاحظات,مجموع مصارفات به دالر,مصارف افغانی+ دالری,مصرف دالری,نرخ اسعار,,مصرف افغانی ,توضیحات,کتگوری,اسم جنس ,تاریخ,شماره ,,
Remarks,Total Expenses by USD,AFN+USD,USD,Exchange Rate,,AFN,Discretion, Category,Material Name,DATE,S/N,,
,$33 ,$32.54 ,,$69.77 ,"AFN 2,270","AFN 2,270","پرداخت مصارفات استعلام های ریاست صدور مجوز بابت تعمیرللندر 6 واقع شهر نو از قبیل کرای موتر , به حوزه دریایی,کرای موتر به ریاست برشنا,کرای موتر به جکشن 5 کلوله پشته,نان چاشت , کارت مبایل و غیره ",,,20-May-25,1,,
,$41 ,$8.64 ,,$69.45 ,"AFN 2,870",AFN 600,"پرداخت کرای تکسی به ریاست آبرسانی فاضلاب شهری , کرای موتر به شهر نو و برگشت و خریداری نوشابه و آب معدنی بابت تعمیرللندر 6",,,3-Jun-25,2,,
,$45 ,$3.60 ,,$69.45 ,"AFN 3,120",AFN 250,پرداخت کرای موتر به شهر نو و کرای تکسی با ریاست اطفائیه بخاطر نقشه تعمیرللندر 6,"AFN 45,811",,3-Jun-25,3,,
,$49 ,$4.69 ,,$70.30 ,"AFN 3,450",AFN 330,پرداخت کرای موتر به ریاست آبرسانی بخاطر اخذ تعرفه تعمیرللندر 6 و خریداری کارت مبایل به رایگان نمودن سیم کارت,,,16-Jun-25,4,,
,$52 ,$2.82 ,,$70.85 ,"AFN 3,650",AFN 200,"پرداخت کرای موتر به ریاست اطفائیه بابت نقشه للندر 6 , کرای موتر به ریاست اطفائیه بابت نقشه اصلاح شده للندر 6 و کرای موتر به دفتر انجنیر فیصل شهرنو",,,22-Jun-25,5,,
,$58 ,$6.13 ,,$70.15 ,"AFN 4,080",AFN 430,"پرداخت کرای موتر به ریاست آبرسانی بابت استعلام تعمیر للندر 6 , مصارف نان چاشت ,کمیشن بانکی تعرفه آبرسانی, و کرای تکسی به شهر نو دفتر انجنیر فیصل",,,30-Jun-25,6,,
,$60 ,$1.15 ,,$69.75 ,"AFN 4,160",AFN 80,پرداخت کرای موتر به شهر نو بخاطر فورم دستور نقشه تعمیرللندر 6,,,2-Jul-25,7,,
,$89 ,$29.76 ,,$67.20 ,"AFN 6,160","AFN 2,000",خریداری تیل پطرول به موتر لکسس بخاطر تعمیرللندر 6,,,6-Sep-25,8,,
,$119 ,$29.39 ,,$67.20 ,"AFN 8,135","AFN 1,975",خریداری غذا از رستورانت به مهمانان تعمیرللندر 6,,,6-Sep-25,9,,
,"$9,119 ","$9,000.00 "," $9,000.00 ",$67.20 ,"AFN 8,135",AFN 0,پرداخت برای رئیس صدور مجوز توسط حاجی رفیع الله بخاطر امر اعمار تعمیرللندر 6,,,6-Sep-25,10,,
,"$9,148 ",$29.32 ,,$67.20 ,"AFN 10,105","AFN 1,970",خریداری پیتزا به کارمندان ریاست صدور مجوز بابت تعمیرللندر 6,,,6-Sep-25,11,,
,"$9,149 ",$0.74 ,,$67.20 ,"AFN 10,155",AFN 50,خریداری تار رجه به تعمیرللندر 6,,,8-Sep-25,12,,
,"$14,149 ","$5,000.00 "," $5,000.00 ",$68.20 ,"AFN 10,155",AFN 0,پرداخت برای رئیس صدور مجوز بابت تعمیرللندر 6,,,9-Sep-25,13,,
,"$14,249 ",$100.00 , $100.00 ,$68.20 ,"AFN 10,155",AFN 0,پرداخت برای پسر رئیس صدور مجوز بابت تعمیرللندر 6,,,9-Sep-25,14,,
,"$14,278 ",$29.33 ,,$68.20 ,"AFN 12,155","AFN 2,000",پرداخت برای ملازمین ریاست صدور مجوز بابت تعمیرللندر 6,,,9-Sep-25,15,,
