,,,LALANDER 6 Building General Expenses sheet,,,,,,
,,,جدول عمومی مصارفات تعمیر للندر 6,,,,,,
ملاحظات,مجموع مصارفات به دالر,مصارف افغانی+ دالری,مصرف دالری,نرخ اسعار,,مصرف افغانی ,توضیحات,تاریخ,شماره 
Remarks,Total Expenses by USD,AFN+USD,USD,Exchange Rate,,AFN,Discretion,DATE,S/N
,$33 ,$32.54 ,,$69.77 ,"AFN 2,270","AFN 2,270","پرداخت مصارفات استعلام های ریاست صدور مجوز بابت تعمیرللندر 6 واقع شهر نو از قبیل کرای موتر , به حوزه دریایی,کرای موتر به ریاست برشنا,کرای موتر به جکشن 5 کلوله پشته,نان چاشت , کارت مبایل و غیره ",20-May-25,1
,$41 ,$8.64 ,,$69.45 ,"AFN 2,870",AFN 600,"پرداخت کرای تکسی به ریاست آبرسانی فاضلاب شهری , کرای موتر به شهر نو و برگشت و خریداری نوشابه و آب معدنی بابت تعمیرللندر 6",3-Jun-25,2
,$45 ,$3.60 ,,$69.45 ,"AFN 3,120",AFN 250,پرداخت کرای موتر به شهر نو و کرای تکسی با ریاست اطفائیه بخاطر نقشه تعمیرللندر 6,3-Jun-25,3
,$49 ,$4.69 ,,$70.30 ,"AFN 3,450",AFN 330,پرداخت کرای موتر به ریاست آبرسانی بخاطر اخذ تعرفه تعمیرللندر 6 و خریداری کارت مبایل به رایگان نمودن سیم کارت,16-Jun-25,4
,$91 ,$41.96 ,,$71.50 ,"AFN 6,450","AFN 3,000",خریداری تیل پطرول به موتر هایلکس,21-Jun-25,5
,$94 ,$2.82 ,,$70.85 ,"AFN 6,650",AFN 200,"پرداخت کرای موتر به ریاست اطفائیه بابت نقشه للندر 6 , کرای موتر به ریاست اطفائیه بابت نقشه اصلاح شده للندر 6 و کرای موتر به دفتر انجنیر فیصل شهرنو",22-Jun-25,6
,$136 ,$41.96 ,,$71.50 ,"AFN 9,650","AFN 3,000",خریداری تیل پطرول به موتر هایلکس,28-Jun-25,7
,$142 ,$6.13 ,,$70.15 ,"AFN 10,080",AFN 430,"پرداخت کرای موتر به ریاست آبرسانی بابت استعلام تعمیر للندر 6 , مصارف نان چاشت ,کمیشن بانکی تعرفه آبرسانی, و کرای تکسی به شهر نو دفتر انجنیر فیصل",30-Jun-25,8
,$143 ,$1.15 ,,$69.75 ,"AFN 10,160",AFN 80,پرداخت کرای موتر به شهر نو بخاطر فورم دستور نقشه تعمیرللندر 6,2-Jul-25,9
,$146 ,$2.29 ,,$69.75 ,"AFN 10,320",AFN 160,"کرای موتر به کارته نو بابت نقشه فاضلاب ,کرای موتر به دفتر انجنیر فیصل بابت انتقال اسناد تست خاک تعمیرللندر 6 ",2-Jul-25,10
,$189 ,$43.01 ,,$69.75 ,"AFN 13,320","AFN 3,000",خریداری تیل پطرول به موتر موتر هایلکس ,2-Jul-25,11
,$242 ,$53.55 ,,$69.10 ,"AFN 17,020","AFN 3,700",خریداری تیل پطرول به موتر موتر هایلکس ,11-Jul-25,12
,$287 ,$44.78 ,,$67.00 ,"AFN 20,020","AFN 3,000",خریداری تیل پطرول به موتر موتر هایلکس ,17-Jul-25,13
,$338 ,$51.02 ,,$68.60 ,"AFN 23,520","AFN 3,500",خریداری تیل پطرول به موتر موتر هایلکس ,26-Jul-25,14
,$407 ,$69.02 ,,$68.10 ,"AFN 28,220","AFN 4,700",خریداری تیل پطرول به موتر هایلکس تعمیرللندر 6,12-Aug-25,
,$440 ,$32.45 ,,$71.50 ,"AFN 30,540","AFN 2,320",پرداخت برای مبلایل تبدیلی و فلتر مبلایل به موتر هایلکس بابت تعمیرللندر6,28-Aug-25,15
,$498 ,$58.48 ,,$68.40 ,"AFN 34,540","AFN 4,000",خریداری تیل پطرول به موتر هایلکس,2-Sep-25,16
,$527 ,$28.67 ,,$69.75 ,"AFN 36,540","AFN 2,000",خریداری تیل پطرول به موتر هالکس بخاطر تعمیرللندر 6,6-Sep-25,17
,$556 ,$29.39 ,,$67.20 ,"AFN 38,515","AFN 1,975",خریداری غذا از رستورانت به مهمانان تعمیرللندر 6,6-Sep-25,18
,"$9,556 ","$9,000.00 ","$9,000 ",$67.20 ,"AFN 38,515",AFN 0,پرداخت برای رئیس صدور مجوز توسط حاجی رفیع الله بخاطر امر اعمار تعمیرللندر 6,6-Sep-25,19
,"$9,585 ",$29.32 ,,$67.20 ,"AFN 40,485","AFN 1,970",خریداری پیتزا به کارمندان ریاست صدور مجوز بابت تعمیرللندر 6,6-Sep-25,20
,"$9,586 ",$0.74 ,,$67.20 ,"AFN 40,535",AFN 50,خریداری تار رجه به تعمیرللندر 6,8-Sep-25,21
,"$14,586 ","$5,000.00 ","$5,000 ",$68.20 ,"AFN 40,535",AFN 0,پرداخت برای رئیس صدور مجوز بابت تعمیرللندر 6,9-Sep-25,22
,"$14,686 ",$100.00 ,$100 ,$68.20 ,"AFN 40,535",AFN 0,پرداخت برای پسر رئیس صدور مجوز بابت تعمیرللندر 6,9-Sep-25,23
,"$14,716 ",$29.33 ,,$68.20 ,"AFN 42,535","AFN 2,000",پرداخت برای ملازمین ریاست صدور مجوز بابت تعمیرللندر 6,9-Sep-25,24
,"$14,906 ",$190.62 ,,$68.20 ,"AFN 55,535","AFN 13,000",خریداری جای نماز به مسجد ریاست صدور مجوز بابت تعمیرللندر 6,9-Sep-25,25
,"$34,906 ","$20,000.00 ","$20,000 ",$68.20 ,"AFN 55,535",AFN 0,پرداخت پول کمیشن حاجی عبدالحق به جاوید سکندری,9-Sep-25,26
,"$39,906 ","$5,000.00 ","$5,000 ",$68.20 ,"AFN 55,535",AFN 0,پرداخت برای جاوید سکندری بابت قباله تعمیرللندر 6,9-Sep-25,27
,"$89,906 ","$50,000.00 ","$50,000 ",$68.20 ,"AFN 55,535",AFN 0,پرداخت برای حاجی عبدالحق بابت جایداد تعمیرللندر 6,9-Sep-25,28
,"$90,256 ",$350.00 ,$350 ,$68.20 ,"AFN 55,535",AFN 0,پرداخت برای خریداری تحفه به فامیل رئیس صدور مجوز بابت تعمیرللندر 6,9-Sep-25,29
,"$90,322 ",$66.18 ,,$68.00 ,"AFN 60,035","AFN 4,500",خریداری تیل پطرول به موتر هایلکس,11-Sep-25,30
,"$90,522 ",$200.00 ,$200 ,$68.20 ,"AFN 60,035",AFN 0,پرداخت برای رئیس صدور مجوز توسط حاجی رفیع الله بخاطر امر اعمار تعمیرللندر 6,21-Sep-25,31
,"$90,594 ",$71.32 ,,$67.30 ,"AFN 64,835","AFN 4,800",خریداری تیل پطرول به موتر هایلکس,25-Sep-25,32
,"$90,653 ",$59.44 ,,$67.30 ,"AFN 68,835","AFN 4,000",پیش پرداخت برای اسماعیل بابت کندن کاری پایل های تعمیرللندر 6,25-Sep-25,33
,"$90,712 ",$59.30 ,,$67.45 ,"AFN 72,835","AFN 4,000",خریداری تیل پطرول به موتر بابت تعمیرللندر 6,30-Sep-25,34
,"$90,742 ",$29.50 ,,$67.45 ,"AFN 74,825","AFN 1,990",خریداری غذا از رستورانت به مهمانان تعمیرللندر 6,30-Sep-25,35
,"$90,764 ",$22.24 ,,$67.45 ,"AFN 76,325","AFN 1,500",خریداری تیل پطرول به موتر لکسس بخاطر تعمیرللندر 6,1-Oct-25,36
,"$90,964 ",$200.00 ,$200 ,$67.00 ,"AFN 76,325",AFN 0,پرداخت برای حاجی گل نظر بابت خریداری لباس به فامیل رئیس صدور مجوز و به مصارف حاجی گل نظر بابت تعمیرللندر 6,2-Oct-25,37
,"$91,016 ",$52.24 ,,$67.00 ,"AFN 79,825","AFN 3,500",پرداخت برای حاجی گل نظر بخاطر حوض آب بازی و مصارف متفرقه بابت تعمیرللندر 6,2-Oct-25,38
,"$94,016 ","$3,000.00 ","$3,000 ",$67.00 ,"AFN 79,825",AFN 0,پرداخت به ریاست کنترول ساختمانها توسط حاجی رفیع الله بابت امر اعمار تعمیرللندر6,4-Oct-25,39
,"$94,031 ",$14.93 ,,$67.00 ,"AFN 80,825","AFN 1,000",خریداری تیل پطرول به موتر هایلکس بابت تعمیرللندر 6,5-Oct-25,40
,"$94,119 ",$87.61 ,,$66.20 ,"AFN 86,625","AFN 5,800",خریداری تیل پطرول به موتر هایلکس بابت تعمیرللندر 6,13-Oct-25,41
,"$94,319 ",$200.00 ,$200 ,$66.40 ,"AFN 86,625",AFN 0,پرداخت رشوه برای انجنیران کنترول ساختمانها بابت خط اندازی تعمیرللندر 6 (نوت: از مجموع پرداخت 200$ دالر مبلغ 100$ آن توسط حاجی مطیع الله پرداخت گردیده که دوباره برایش پرداخت گردیده.,15-Oct-25,42
,"$94,325 ",$5.72 ,,$66.40 ,"AFN 87,005",AFN 380,"خریداری پایپ لیول , اسپری و میخ فولادی به تعمیرللندر 6",15-Oct-25,43
,"$94,331 ",$6.78 ,,$66.40 ,"AFN 87,455",AFN 450,خریداری چکش و رجه به تعمیرللندر 6,15-Oct-25,44
,"$94,337 ",$6.02 ,,$66.40 ,"AFN 87,855",AFN 400,خریداری متر 50 متره به تعمیر للندر 6,15-Oct-25,45
,"$94,339 ",$1.96 ,,$66.40 ,"AFN 87,985",AFN 130,خریداری سمنت سفید به تعمیرللندر 6,15-Oct-25,46
,"$94,370 ",$31.02 ,,$66.40 ,"AFN 90,045","AFN 2,060","خریداری برمه چارجی ,کلگی پیچکش به تعمیر للندر6",18-Oct-25,47
,"$94,718 ",$347.59 ,,$66.40 ,"AFN 113,125","AFN 23,080","پرداخت برای مصارفات تعمیرللندر 6 از قبیل کرای تکسی ع رشوه ب رئیس صدور مجوز,تعرفه ریاست کنترول ساختمانها,کاپی نقشه ها,تعرفه خط اندازی, مصارفات متفرقه و غیره توسط حاجی احسان الله سهاک ",18-Oct-25,48
,"$94,726 ",$7.53 ,,$66.40 ,"AFN 113,625",AFN 500,پرداخت کرای تکسی بابت انتقال مواد فلز کاری به تعمیرللندر 6,18-Oct-25,49
,"$94,867 ",$141.57 ,,$66.40 ,"AFN 123,025","AFN 9,400","خریداری چرخ کلان, رول , مترو پل برش , چاقو , اسکرنج به تعمیرللندر 6",18-Oct-25,50
,"$94,869 ",$1.81 ,,$66.40 ,"AFN 123,145",AFN 120,خریداری اسپری و مارکر به خط اندازی تعمیرللندر 6,18-Oct-25,51
,"$94,949 ",$79.82 ,,$66.40 ,"AFN 128,445","AFN 5,300",خریداری تیل پطرول به موتر هایلکس,18-Oct-25,52
,"$95,491 ",$542.58 ,,$66.35 ,"AFN 164,445","AFN 36,000",خریداری یک پایه ماشین جنراتور 27hp دیزلی به تعمیرللندر 6,20-Oct-25,53
,"$95,515 ",$24.11 ,,$66.35 ,"AFN 166,045","AFN 1,600","خریداری مبلایل , کرای موتر ,جوالی بابت بالا کردن جنراتور تعمیرللندر 6",20-Oct-25,54
,"$95,520 ",$4.97 ,,$66.35 ,"AFN 166,375",AFN 330,خریداری کندکسر و دستکش به تعمیرللندر 6 ,21-Oct-25,55
,"$95,528 ",$7.84 ,,$66.35 ,"AFN 166,895",AFN 520,"خریداری آب نوشیدنی , نوار طفلون , گوتکه ,برشینگ,زانوخم و فلق به تعمیرللندر6",21-Oct-25,56
,"$95,558 ",$30.14 ,,$66.35 ,"AFN 168,895","AFN 2,000",خریداری تیل پطرول به موتر بخاطر تعمیرللندر6,21-Oct-25,57
,"$95,795 ",$236.93 ,,$66.35 ,"AFN 184,615","AFN 15,720","خریداری پایپ 1"" پی پی آر و ریسمان 14 ملی به تعمیرللندر 6",21-Oct-25,58
,"$95,804 ",$8.44 ,,$66.35 ,"AFN 185,175",AFN 560,خریداری رجه و کرای باربری به تعمیرللندر 6,21-Oct-25,59
,"$95,947 ",$143.18 ,,$66.35 ,"AFN 194,675","AFN 9,500","خریداری آب بازک 2/2 1"" به چاه آب تعمیرللندر 6",21-Oct-25,60
,"$103,488 ","$7,541.48 ",,$66.30 ,"AFN 694,675","AFN 500,000",پرداخت برای نورگل بابت اجرت ساعتوار اسکواتور و انتقال پرانه از تعمیرللندر 6,23-Oct-25,61
,"$103,496 ",$7.54 ,,$66.30 ,"AFN 695,175",AFN 500,پرداخت برای سفر برقی بابت آب بازک تعمیرللندر 6,23-Oct-25,62
,"$111,383 ","$7,886.64 ",,$66.60 ,"AFN 1,220,425","AFN 525,250",پرداخت برای خریداری 700 خریطه سمنت ایرانی به نرخ 550 افغانی و 250 خریطه سمنت ایرانی به نرخ 561 افغانی به تعیمرللندر 6,28-Oct-25,63
,"$111,533 ",$150.15 ,,$66.60 ,"AFN 1,230,425","AFN 10,000",پیش پرداخت برای غلام علی مکسر کار بابت تعمیرللندر 6,28-Oct-25,64
,"$112,283 ",$750.75 ,,$66.60 ,"AFN 1,280,425","AFN 50,000",پیش پرداخت برای انجنیر صفی الله بابت تعمیرللندر 6,30-Oct-25,65
,"$112,385 ",$101.35 ,,$66.60 ,"AFN 1,287,175","AFN 6,750",پرداخت برای نورالدین بابت کرای انتقال خرک و غیره به تعیمرللندر 6,30-Oct-25,66
,"$112,891 ",$506.01 ,,$66.60 ,"AFN 1,320,875","AFN 33,700",پرداخت پول باقیمانده و تصفیه حساب غلام علی مکسر کار بابت کانکریت ریزی 38 حلقه پایل فی دانه از قرار 1150 افغانی,3-Nov-25,67
,"$118,910 ","$6,019.56 ",,$66.45 ,"AFN 1,720,875","AFN 400,000",پرداخت قسط اول برای عظیم الله ستانکزی بابت حفاری پایل های تحکیماتی تعمیرللندر 6,3-Nov-25,68
,"$121,250 ","$2,340.11 ",,$66.45 ,"AFN 1,876,375","AFN 155,500",پرداخت شرکت مواد ساختمانی سلیمان داودزی بابت خریداری ریگ شسته و کرش به کانکریت ریزی پایل های تعمیرللندر 6,3-Nov-25,69
,"$121,659 ",$408.45 ,,$66.30 ,"AFN 1,903,455","AFN 27,080","پراخت برای مصارفات تاریخ های مختلف تعمیرللندر6 از تاریخ 21 اکتوبر 2025 الی 04 نوامبر 2025 از قبیل چای صبح , نان چاشت ,رول اصلی , گاز مایع,فیوز اتومات,تیل دیزل به جنراتور,رینگ ایرانی به دفتر ساحوی ,بیل گرد,متر 5 متره ,نوشابه,آب معدنی,گوشت مرغ,نان خشک , بوره,تار رجه,دستکش,مبلایل به جنراتور,وسایل آشپزخانه از قبیل ترموز چای ,گیلاس,کپگیر,دسترخوان,کاسه,مواد شوینده,تیل دیزل به جنراتور,رشوه به برقی ساحه بخاطر وصل نمودن برق ,ذخیره آب ,کراچی ,نل 40 , لوازم آشپزخانه ,مواد ساختمانی و یک بندل پایپ پلاستیکی به تعمیرللندر 6",4-Nov-25,70
,"$121,665 ",$6.03 ,,$66.30 ,"AFN 1,903,855",AFN 400,پرداخت اجرت مزد دو نفر مزدور کار بابت کندن کاری رینگ های تعمیرللندر 6,4-Nov-25,71
,"$121,672 ",$6.79 ,,$66.30 ,"AFN 1,904,305",AFN 450,خریداری گاز مایع به دفتر ساحوی تعمیرللندر 6,4-Nov-25,72
,"$121,811 ",$138.91 ,,$66.30 ,"AFN 1,913,515","AFN 9,210","پرداخت برای خریداری مصارفات تاریخ های مختلف تعمیرللندر 6 از تاریخ 16 اکتوبر 2025 الی 04 نوامبر 2025 از قبیل تیل جنراتور,نان خشک , نوشابه,آب معدنی,گوشت ,روغن,پیاز , کچالو,چای صبح,کرای زرنج باخاطرانتقال تخته ها,خرید سامان آلات برقی,قفل , مبلایل,پل چرخ,تیل دیزل,نان چاشت ,پرزه جات به جنراتور و غیره ",4-Nov-25,73
,"$121,882 ",$71.64 ,,$66.30 ,"AFN 1,918,265","AFN 4,750",پرداخت برای کرن کار بابت پائین کردن پایل های تعمیرللندر 6,4-Nov-25,74
