,مصارفات روزانه دفتر  و تعمیرللندر 4,,,,,,,
مجموع,مجموع افغانی + دالری,نر خ اسعار دالری,مبلغ دالری$,مبلغ افغانی,تفصیلات ,تاریخ,شماره,
$595.3,$595.3,66.38,,"AFN 39,518",پرداخت ترکه ریاست ناحیه اول شاروالی کابل,2-Nov-25,1,
$987.5,$392.2,66.3,,"AFN 26,000",خریداری لین 4/3 و پیپ   به للندر 5,1-Dec-25,2,
$996.7,$9.2,65,,AFN 600,"خریداری آفتابه, قاشق, خاک انداز, برس به للندر 4",13-Dec-25,43,
"$1,027.5",$30.8,65,,"AFN 2,000",خریداری تیل دیزل 31 لیتر به للندر 4,13-Dec-25,44,
"$1,058.3",$30.8,65,,"AFN 2,000",خریداری تیل دیزل 31 لیتر به للندر 4,13-Dec-25,45,
"$1,135.2",$76.9,65,,"AFN 5,000",خریداری تیل دیزل 72 لیتر به للندر 4,13-Dec-25,46,
"$1,189.0",$53.8,65,,"AFN 3,500",خریداری بتری 12 ولت به للندر 4,13-Dec-25,47,
"$1,219.8",$30.8,65,,"AFN 2,000",پرداخت برای انتقال بار گیری بابت للندر 4,13-Dec-25,42,
"$1,273.6",$53.8,65,,"AFN 3,500",پرداخت به مستری و سوچ جنراتور  به للندر 4,13-Dec-25,15,
"$1,276.7",$3.1,65,,AFN 200,پرداخت برای خریداری پطرول 92 به پروژه للندر 4,13-Dec-25,16,
"$1,277.6",$0.9,65,,AFN 60,خریداری قلف بابت للندر 4,13-Dec-25,17,
"$1,279.9",$2.3,65,,AFN 150,خریداری دوازده متر سیخ گول بابت للندر 4,13-Dec-25,18,
"$1,379.9",$100.0,65,$100.00,,پرداخت برای مستری به للندر 4,13-Dec-25,19,
"$1,414.3",$34.3,65,,"AFN 2,232",پرداخت برای کاپی نقشه های للندر 4 ,14-Dec-25,20,
"$1,568.8",$154.6,65.22,,"AFN 10,080",خریداری تیل دیزل برای جنراتور به للندر 4,14-Dec-25,3,
"$1,573.4",$4.5,66.07,,AFN 300,خریداری قفل و کتابچه به للندر 4,14-Dec-25,4,
"$1,576.1",$2.8,65.22,,AFN 180,خریداری کلچ LD  به للندر 4,14-Dec-25,5,
"$1,577.4",$1.2,66.07,,AFN 80,خریداری پلک برق  به للندر 4,14-Dec-25,6,
"$1,581.0",$3.6,66.07,,AFN 240,"خریداری چت راست, زلفی و قلف به للندر 4",14-Dec-25,7,
"$1,582.2",$1.2,66.07,,AFN 80,خریداری چت راست یک جوره  به للندر 4,14-Dec-25,8,
"$1,597.3",$15.1,66.2,,"AFN 1,000",پیش پرداخت برای اکرم ولد عبدامحمد بابت ماه قوس 1404,15-Dec-25,9,
"$1,621.5",$24.2,66.15,,"AFN 1,600",خریداری ترموز  به للندر 4,15-Dec-25,10,
"$1,626.2",$4.7,64,,AFN 300,پرداخت برای فرید بابت کارت موبایل به پروژه للندر 4,16-Dec-25,11,
"$1,629.3",$3.1,64,,AFN 200,پرداخت کرای تکسی انجنیران بخاطر جنراتور به پروژه للندر 4,16-Dec-25,12,
"$1,702.1",$72.8,64,,"AFN 4,662",خریداری تیل دیزل   به للندر 4,16-Dec-25,13,
"$1,708.9",$6.7,65.24,,AFN 440,"خریداری دسته بیل, متر, پایپ  به للندر 4",16-Dec-25,14,
"$1,760.5",$51.6,64,,"AFN 3,300",خریداری سیم جستی دو بندل به للندر 4,16-Dec-25,15,
"$1,786.2",$25.8,64,,"AFN 1,650",خریداری سیم جستی یک بندل به للندر 4,16-Dec-25,16,
"$1,789.5",$3.3,64,,AFN 210,خریداری پلاستیک به للندر 4,16-Dec-25,17,
"$1,792.0",$2.5,64,,AFN 160,خریداری پلاستیک 4 متره به للندر 4,16-Dec-25,18,
"$1,794.4",$2.3,64,,AFN 150,خریداری دو عرر ماله به للندر 4,16-Dec-25,19,
"$1,816.2",$21.9,64,,"AFN 1,400","خریداری قیته 150 متره, رجه, قلم به للندر 4",16-Dec-25,20,
"$2,816.2","$1,000.0",66.2,,"AFN 66,200",پرداخت برای گلبدین بابت سیم تابی فوندیشن تعمیر للندر 4,17-Dec-25,21,
"$2,828.4",$12.2,64,,AFN 780,"خریداری فاز, قلف به للندر 4",17-Dec-25,22,
"$2,941.7",$113.3,66.2,,"AFN 7,500",پرداخت برای محمد نسیم کرن کار  بابت پایین نمودت پایل های تعمیر للندر 4,18-Dec-25,23,
"$2,943.3",$1.6,64,,AFN 100,خریداری گاز به للندر 4,18-Dec-25,24,
"$2,974.5",$31.3,64,,"AFN 2,000",خریداری تیل دیزل بابت پروژه للندر 4,18-Dec-25,25,
"$2,976.9",$2.3,64,,AFN 150,خریداری چوال برای گل کار بابت پروژه للندر 4,18-Dec-25,26,
"$2,979.7",$2.8,64,,AFN 180,خریداری گاز به للندر 4,18-Dec-25,27,
"$2,984.4",$4.7,64,,AFN 300,پرداخت کرای تکسی  به پروژه للندر 4,18-Dec-25,28,
"$3,026.6",$42.3,66.27,,"AFN 2,800",خریداری تیل پطرول 92 به للندر 4,19-Dec-25,29,
"$3,034.2",$7.5,66.27,,AFN 500,"خریداری گاز و وال گاز, کرایه موتر به للندر 4",20-Dec-25,30,
"$3,124.7",$90.5,66.3,,"AFN 6,000",پرداخت اجرت سه نفر کارگر بابت کانکریت ریزی فوندیشن تعمیر للندر 4 فی نفر از قرار 2000 افغانی ,21-Dec-25,31,
"$3,142.8",$18.1,66.27,,"AFN 1,200",خریداری آرمیچر  به للندر 4,21-Dec-25,32,
"$3,174.3",$31.5,66.27,,"AFN 2,090","خریداری پلاستیگ, دستکش, گیر مال و گروپ به للندر 4",21-Dec-25,33,
"$3,179.3",$5.0,66.27,,AFN 330,خریداری پطرول سوپر بابت للندر 4,21-Dec-25,34,
"$3,194.4",$15.1,66.27,,"AFN 1,000",خریداری تیل دیزل بابت للندر 4,21-Dec-25,35,
"$3,202.7",$8.3,66.27,,AFN 550,"خریداری قفل, بوره, چاکلیت که 470 رسید و 80 افغانی باقی  بابت للندر 4",21-Dec-25,36,
"$3,207.8",$5.1,66.27,,AFN 340,خریداری تیل پطرول بابت للندر 4,21-Dec-25,37,
"$3,220.6",$12.8,66.27,,AFN 850,خریداری 3 کواتر رنگ روغنی و دو عدد برش رول بابت للندر 4,21-Dec-25,38,
"$3,278.0",$57.3,66.27,,"AFN 3,800",خریداری چسپ وبراتور جنرال و چسپ وبراتور رنجر ساده بابت للندر 4,21-Dec-25,39,
"$3,418.4",$140.5,66,,"AFN 9,270",خریداری بخاری 2 پایه برای انجنیر بهروزبابت تعمیر للندر 4,22-Dec-25,41,
"$3,468.4",$50.0,66,,"AFN 3,300",خریداری 2 بندل سیم جستی  به للندر 4,22-Dec-25,42,
"$3,498.7",$30.3,66,,"AFN 2,000",خریداری تیل دیزل بابت پروژه للندر 4,22-Dec-25,43,
"$3,546.8",$48.0,66,,"AFN 3,170","خریداری پروجکتور, لین, هولدر, گروپ, رنکش بابت پروژه للندر 4",22-Dec-25,44,
"$3,561.9",$15.2,66,,"AFN 1,000",خریداری چهار کوارتر روغن بابت پروژه للندر 4,22-Dec-25,45,
"$3,569.5",$7.6,66,,AFN 500,خریداری تیل دیزل بابت پروژه للندر 4,22-Dec-25,46,
"$3,582.3",$12.8,65.5,,AFN 840,"خریداری دو درجن گیلاس, دستر خوان, جاروی مزاری  پروژه للندر 4",22-Dec-25,47,
"$3,597.6",$15.3,65.5,,"AFN 1,000",خریداری تیل پطرول بابت للندر 4,23-Dec-25,48,
"$3,602.9",$5.3,65.5,,AFN 350,"خریداری سرش, بکس وانه, دسته بکس وانه پروژه للندر 4",23-Dec-25,49,
"$3,626.4",$23.5,65.5,,"AFN 1,540", به تعداد 148 پرنت و دو دانه پوش بابت پروژه للندر 4,23-Dec-25,50,
"$3,664.6",$38.2,65.5,,"AFN 2,500", خریداری تیل دیزل بابت پروژه للندر 4,23-Dec-25,51,
"$3,697.8",$33.2,66.2,,"AFN 2,200",پرداخت برای مصارف غذای کاریگران بابت کانکریت ریزی فوندیشن تعمیر للندر 4,23-Dec-25,52,
"$5,735.8","$2,038.0",66.3,,"AFN 135,120",پرداخت و تصفیه حساب مکمل حکیم خان بابت حفاری پایل های  تعمیر للندر 4 توسط مجیب الرحمن برادرش,23-Dec-25,54,
"$5,887.4",$151.5,66,,"AFN 10,000",پرداخت معاش محمد نوید ماه قوس 1404 ,22-Dec-25,55,
"$5,892.7",$5.3,66,,AFN 350,"خریداری بکس وانه به سایز های 19,17 ",22-Dec-25,56,
"$5,895.4",$2.7,65.5,,AFN 180,خریداری فیس وپرزه گاز بابت پروژه للندر 4,23-Dec-25,57,
"$5,922.1",$26.7,66,,"AFN 1,760","خریداری سرش, پلایوت, میردیت بابت پروژه للندر 4",22-Dec-25,59,
"$6,020.5",$98.4,66.05,,"AFN 6,500",پرداخت برای هارون ولد فیض محمد مربوط للندر 4,24-Dec-25,60,
"$6,129.7",$109.2,66.05,,"AFN 7,211",پرداخت برای شریف الله ولد فیض محمد مربوط للندر 4,24-Dec-25,61,
"$8,893.7","$2,764.0",66.1,,"AFN 182,700","پرداخت شرکت مواد ساختمانی (شیر باز بابت خریداری سنگ بولدر ,جغل بادامی و ریگ شسته به تعمیر للندر 4",24-Dec-25,62,
"$9,346.0",$452.4,66.315,,"AFN 30,000",پرداخت قسط اول کانکریت ریزی فوندیشن تعمیر للندر 4,24-Dec-25,63,
"$9,406.3",$60.2,66.44,,"AFN 4,000",پرداخت برای محمد اکرام ولد عبدل محمود  مربوط للندر 4,24-Dec-25,64,
"$9,481.4",$75.1,66.565,,"AFN 5,000",پیش پرداخت برای فرید للندر بابت ماه جدی 1404,24-Dec-25,65,
"$12,215.8","$2,734.4",66.815,,"AFN 182,700",پرداخت برای شرکت مواد ساختمانی سلیمان داود زی بابت خریداری کرش بادانی و ریگ شسته به کانکریت ریزی پایل های اساسی تعمیر للندر 6,24-Dec-25,67,
"$12,290.5",$74.7,66.27,,"AFN 4,950",خریداری سیم جستی سه بندل به للندر 4,25-Dec-25,69,
"$12,447.0",$156.6,67.065,,"AFN 10,500",پرداخت برای حاجی شریف بابت خریداری پروفیل  30/60  2ملی به تعمیر للندر 4,25-Dec-25,70,
"$12,450.7",$3.6,66.2,,AFN 240,خریداری گاز به للندر 4,28-Dec-25,71,
"$12,452.6",$2.0,66.2,,AFN 130,خریداری کنترولر و کلیفت پیپ به للندر 4,28-Dec-25,72,
"$12,482.8",$30.2,66.2,,"AFN 2,000",خریداری تیل دیزل به للندر 4,28-Dec-25,73,
"$12,911.1",$428.2,66.2,,"AFN 28,350","خریداری دو بوجی برنج, 4 پیپ روغن , 2 بوجی لوبیا, 1 بوجی نخود , 1کیلو زیره , 1 کیلو مرچ سرخ, 2 کیلو نمک و غیره به للندر 4",28-Dec-25,74,
"$12,918.6",$7.6,66.2,,AFN 500,خریداری overload برای جنراتور  16 آپشن و کرایه حمل به للندر 4,28-Dec-25,75,
"$12,976.3",$57.7,66.2,,"AFN 3,820",پرداخت برای لوحه تبلیغاتی للندر 4,28-Dec-25,76,
"$13,478.5",$502.1,66.2,,"AFN 33,240",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4,28-Dec-25,77,
"$13,507.7",$29.2,66.2,,"AFN 1,935",پرداخت برای خبازی عبدالمطلب بابت خریداری نان خشک به تعمیر للندر 4 بابت ماه قوس 1404,28-Dec-25,78,
"$13,523.0",$15.3,65.5,,"AFN 1,000",خریداری پطرول بابت پروزه للندر 4,30-Dec-25,79,
"$13,530.6",$7.6,65.5,,AFN 500,"خریداری شیر،کیک به کارگران شب کانکریت ریزی چت تعمیر للندر4",30-Dec-25,80,
"$13,585.6",$55.0,65.5,,"AFN 3,600",خریداری پیپ ویبراتور ساده بابت تعمیر للندر4,30-Dec-25,81,
"$14,335.8",$750.3,66.11,,"AFN 49,600",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4,31-Dec-25,82,
"$14,434.6",$98.8,65.97,,"AFN 6,520",خریداری سیم جستی 4بندل به للندر4,31-Dec-25,83,
"$14,441.0",$6.4,65.97,,AFN 420,خریداری دستکش 1بسته به للندر 4,31-Dec-25,84,
"$14,539.6",$98.6,66.11,,"AFN 6,520",خریداری سیم جستی بابت تعمیر للندر 4,31-Dec-25,85,
"$14,569.9",$30.2,66.2,,"AFN 2,000",پیش پرداخت برای احمد فرید للندر بابت ماه جدی 1404,1-Jan-26,86,
"$14,751.1",$181.3,66.2,,"AFN 12,000",پرداخت معاش سفی الله ولد رفیع الله بابت ماه قوس 1404 ,1-Jan-26,87,
"$14,781.4",$30.3,66,,"AFN 2,000",پرداخت برای اجرت دو نفر گلکار بابت کانکریت ریزی چت منزل اول تهکوی تعمیر للندر 4,1-Jan-26,88,
"$15,099.6",$318.2,66,,"AFN 21,000",پرداخت معاش مهراج الدین  بابت ماه قوس 1404 ,1-Jan-26,89,
"$15,251.1",$151.5,66,,"AFN 10,000",پرداخت معاش عنایت الله ولد امان الله  بابت ماه قوس 1404 کاریگر تعمیرللندر4,1-Jan-26,90,
"$15,478.4",$227.3,66,,"AFN 15,000",پیش پرداخت برای انجنیر صفی الله ولد حبیب الله بابت ماه قوس 1404,1-Jan-26,91,
"$15,492.0",$13.6,66,,AFN 900,"خریداری یک سیر بوره, نیم کیلو چای سبز و سیاه به للندر 4",1-Jan-26,92,
"$15,537.5",$45.5,66,,"AFN 3,000",خریداری تیل پطرول A-92 به للندر 4,1-Jan-26,93,
"$15,539.0",$1.5,66,,AFN 100,خریداری بوره به للندر 4,1-Jan-26,94,
"$15,616.8",$77.8,66,,"AFN 5,136",خریداری نان خشک بابت ماه قوس 1404 به للندر 4,1-Jan-26,95,
"$15,716.8",$100.0,66,$100.00,AFN 0,پرداخت برای انجنیرن صدور جواز ریاست تخلیفات ساختمانی بابت تعمیر للندر 4,1-Jan-26,96,
"$16,171.4",$454.5,66,,"AFN 30,000",پرداخت برای چکر جلال آباد انجینران ناحیه توسط حاجی به تعمیر للندر 4,2-Jan-26,,
"$16,194.1",$22.7,66,,"AFN 1,500",خریداری تیل دیزل به للندر 4,3-Jan-26,108,
"$16,248.6",$54.5,66,,"AFN 3,600",خریداری غذا از رستورانت بابت مهمان های للندر 4 روزی حسابی ,3-Jan-26,109,
"$16,251.7",$3.0,66,,AFN 200,خریداری گاز به للندر 4,4-Jan-26,110,
"$16,301.1",$49.4,66,,"AFN 3,260",خریداری سیم جستی به للندر 4,4-Jan-26,111,
"$16,314.2",$13.2,66,,AFN 870,"خریداری رنگ os, تینر و رول به للندر 4",4-Jan-26,112,
"$16,327.4",$13.2,66,,AFN 870,"خریداری رنگ os, تینر و رول به للندر 4",4-Jan-26,113,
"$16,328.2",$0.8,66,,AFN 50,خریداری گاز به للندر 4,4-Jan-26,114,
"$16,358.5",$30.3,66,,"AFN 2,000",خریداری تیل دیزل به للندر 4,4-Jan-26,115,
"$16,363.3",$4.8,66,,AFN 320,خریداری مبلاین به للندر 4,4-Jan-26,116,
"$16,365.3",$2.0,66,,AFN 130,"خریداری یک دانه برس, بولت و واشل به للندر 4",4-Jan-26,117,
"$16,390.3",$25.0,66,,"AFN 1,650",خریداری لیدر و اجرت مستری بابت کرولای نقره ای به للندر 4,4-Jan-26,118,
"$16,421.9",$31.6,66,,"AFN 2,083",پرداخت مصرف بل برق تعمیر للندر 4 بابت ماه قوس 1404,4-Jan-26,,
"$16,876.7",$454.8,66,,"AFN 30,016",پرداخت مصرف بل برق دفتر بابت ماه عقرب و قوس 1404,4-Jan-26,,
"$36,876.7","$20,000.0",66,"$20,000.00",,پرداخت برای شرکت کانکریت ریزی افغان پلانت بابت تعمیر للندر 4,4-Jan-26,,
"$36,985.7",$109.1,66,,"AFN 7,200",پرداخت معاش هارون ولد فضل الرحمان بابت ماه قوس 1404,4-Jan-26,,
"$37,137.3",$151.5,66,,"AFN 10,000",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4,4-Jan-26,119,
"$37,364.5",$227.3,66,,"AFN 15,000",پرداخت برای محمد علی بابت تخریب دیوار RCC افغان بیستسم بابت للندر 4,5-Jan-26,120,
"$37,372.1",$7.6,66,,AFN 500,پرداخت برای مصارف کارت مبابل فرید للندر صدیق  بابت للندر 4,5-Jan-26,121,
"$37,902.4",$530.3,66,,"AFN 35,000",پرداخت معاش صفی الله صدیقی بابت ماه قوس 1404للندر 4,5-Jan-26,122,
"$37,910.0",$7.6,66,,AFN 500,پرداخت برای کارت مبایل انجنیر صفی الله صدیقی بابت للندر 4,5-Jan-26,123,
"$38,000.9",$90.9,66,,"AFN 6,000",پرداخت اجرت ساعتوار اسکواتور کار بابت سه ساعت به تعمیر بابت للندر 4 به خاطر آماده سازی راه به پمپ کانکریت تعمیر للندر 4,5-Jan-26,124,
"$38,002.1",$1.2,66,,AFN 80,خریداری لابرتیب برق به تعمیر للندر 4,5-Jan-26,,
"$38,135.7",$133.6,66,,"AFN 8,820","خریداری دوسیه سفید, ماشین حساب, قلم ریزی, ورق سفید, پلاستیکع استپلر, پنسل و سوزن استبلر به تعمیر للندر 4",5-Jan-26,,
"$38,181.1",$45.3,66.2,,"AFN 3,000",پیش پرداخت برای احمد فرید للندر بابت ماه جدی 1404,6-Jan-26,125,
"$38,332.1",$151.1,66.2,,"AFN 10,000",پرداخت برای حاجی گل نظری بابت پرداخت به حوزه سوم بابت تعمیر للندر 4,6-Jan-26,126,
"$38,335.9",$3.8,66.1,,AFN 250,خریداری کارت موبایل به معراج,7-Jan-26,127,
"$38,351.0",$15.1,66.1,,"AFN 1,000",پیش پرداخت برای  زین الله ولد محمد ظاهر بابت ماه جدی 1404 تعمیر للندر 4,7-Jan-26,128,
"$39,151.0",$800.0,66.1,,"AFN 52,880",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4 ,7-Jan-26,129,
"$39,154.1",$3.0,66.1,,AFN 200,خریداری گازکیت یک سلند و تیل به مرکز سایکل تعمیر للندر 4 ,7-Jan-26,130,
"$39,160.1",$6.1,66.1,,AFN 400,خریداری تیل پطرول به کرولا نقره ایی بابت تعمیر للندر 4 ,7-Jan-26,131,
"$39,170.7",$10.6,66.1,,AFN 700,خریداری صندوق برق به آب بازک  تعمیر للندر 4 ,7-Jan-26,132,
"$39,193.4",$22.7,66.1,,"AFN 1,500",پیش پرداخت برای هارون ولد فیض محمد بابت ماه جدی 1404,7-Jan-26,133,
"$39,238.8",$45.4,66.1,,"AFN 3,000",پیش پرداخت برای معراج بابت ماه جدی 1404,7-Jan-26,134,
"$39,269.1",$30.3,66,,"AFN 2,000",پیش پرداخت برای شریف الله ولد فیض محمد بابت ماه جدی 1404 تعمیر للندر 4,8-Jan-26,135,
"$39,299.4",$30.3,66,,"AFN 2,000",خریداری تیل به موتری کرولا به للندر 4,8-Jan-26,,
"$39,302.4",$3.0,66,,AFN 200,خریداری توش یک قوطی به تعمیر للندر 4,8-Jan-26,136,
"$39,332.7",$30.3,66,,"AFN 2,000",پرداخت برای تبدیل مبلاین کرولای نقره به تعمیر للندر 4,8-Jan-26,137,
"$39,499.4",$166.7,66,,"AFN 11,000",پرداخت برای کارمندان ناحیه سوم شهر کابل توسط حاجی گل نظربابت تعمیر للندر 4,8-Jan-26,138,
"$39,650.4",$151.1,66.2,,"AFN 10,000",پیش پرداخت برای معراج الدین بابت ماه جدی 1404 تعمیر للندر 4,11-Jan-26,139,
"$44,650.4","$5,000.0",66.2,"$5,000.00",,پرداخت برای شرکت کانکریت افغان پلانت بابت کانکریت ریزی پایل های اساسی  تعمیر للندر 4,11-Jan-26,140,
"$44,672.3",$21.9,66.2,,"AFN 1,450",خریداری سیم جستی 1/2 ملی بندل به تعمیر للندر 4,11-Jan-26,,
"$44,674.5",$2.1,66,,AFN 140,خریداری گاز به للندر 4,12-Jan-26,141,
"$44,679.3",$4.8,66.19,,AFN 320,خریداری گاز به للندر 4,12-Jan-26,143,
"$44,684.6",$5.3,66.19,,AFN 350,خریداری تیل پطرول  به تعیر للندر 4 ,12-Jan-26,144,
