,مصارفات روزانه دفتر ,,,,,,,,,,
مجموع,مجموع افغانی + دالری,نر خ اسعار دالری,مبلغ دالری,مبلغ افغانی,تفصیلات ,تاریخ,شماره,,,,
$136.4,$136.4,66,,"AFN 9,000",پرداخت و تصفیه حساب ذکریا نلدوان بابت ترمیم کاری خانه گزرگاه,5-Jun-25,1,,,,
$257.6,$121.2,66,,"AFN 8,000",پرداخت برای تمیم کراکری توسط حاجی صبغت الله,5-Jun-25,2,,,,
$338.3,$80.7,66,,"AFN 5,328",پرداخت برای خبازی عصر بابت خریداری نان خشک به دفتر کارته سه ماه آپریل 2025,5-Jun-25,3,,,,
$377.3,$39.0,66,,"AFN 2,574",پرداخت برای خبازی عصر بابت خریداری نان خشک به دفتر کارته سه ماه می 2025,5-Jun-25,4,,,,
$680.3,$303.0,66,,"AFN 20,000",پرداخت برای اجرت سردار بابت رنگمالی خانه گزرگاه,5-Jun-25,5,,,,
$937.9,$257.6,66,,"AFN 17,000",پرداخت برای اجرت رنگمالی سردار بابت خانه گزرگاه,31-Jul-25,6,,,,
$980.3,$42.4,66,,"AFN 2,800","پرداخت برای اجرت رنگمالی سردار بابت تعمیر واحد های 29,28,09  تعمیر للندر 2",31-Jul-25,7,,,,
"$1,022.8",$42.4,66,,"AFN 2,800",پرداخت برای اجرت چهار روزه  رنگمالی سردار رهنما و راه زینه جایداد پهلوی کافتریا ,31-Jul-25,8,,,,
"$1,068.2",$45.5,66,,"AFN 3,000",پرداخت برای اجرت رنگمالی داخل دفتر کارته سه,31-Jul-25,9,,,,
"$1,116.3",$48.1,66,,"AFN 3,177",پرداخت برای خبازی عصر بابت خریداری نان خشک به دفتر کارته سه ماه جون 2025,31-Jul-25,10,,,,
"$1,616.3",$500.0,66.6,$500.00,,پرداخت تعرفه پوهنتون کابل بابت زمین کارته پروان حاجی زیور,28-Oct-25,11,,,,
"$1,671.8",$55.4,66.5,,"AFN 3,686",پرداخت تعرفه صفایی جایداد تعمیر للندر 1 بابت سال 1403 و پرداخت فیس مهندسی بابت صفایی جایداد تعمیر للندر 1,19-Oct-25,12,,,,
"$2,122.9",$451.1,66.5,,"AFN 30,000",پرداخت برای شرکت لابرتواری BMGS بابت زمین کارته پروان حاجی زیور,19-Oct-25,,,,,
"$2,125.4",$2.5,64,,AFN 160,خریداری بادنجان سیاه 9 کیلو به دفتر,28-Oct-25,13,,,,
"$2,132.7",$7.3,64,,AFN 470,"خریداری کچالو,نمک,مصاله قورمه و غیره به دفتر",28-Oct-25,14,,,,
"$2,141.3",$8.6,64,,AFN 550,خریداری ROSI OIL به للندر 3 و 1 ,28-Oct-25,15,,,,
"$4,141.3","$2,000.0",64,"$2,000.00",,پرداخت برای ریس هارون بابت سهم باقی مانده واحد بفروش رسیده نمبر 05 تعمیر للندر2 بدست نعمیم به هدایت ریس هارون به دفتر,28-Oct-25,16,,,,
"$4,261.3",$120.0,65,,"AFN 7,800","پرداخت اجرت سه  روزه ذکریا نلدوان بابت ترمیم کاری سیستم  آبرسانی زمین گل باغ , ترمیم کار خانه بی بی حاجی , ترمیم کار خانه پل سرخ و غیره",30-Oct-25,17,,,,
"$4,271.3",$10.0,65,,AFN 650,پرداخت برای خریداری گوشت ماهی به دفتر,4-Nov-25,18,,,,
"$4,283.7",$12.3,65,,AFN 800,پرداخت برای انتقال کثافت تعمیر للندر 1,4-Nov-25,19,,,,
"$4,385.1",$101.5,65,,"AFN 6,595",پرداخت تعرفه صفایی یک از واحد های گذرگاه همراه با کمیشن بانکی بابت سال 1404,5-Nov-25,20,,,,
"$4,413.5",$28.4,65,,"AFN 1,845","پرداخت برای خبازی عبدالمطلب بابت خریداری نان خشک به دفتر للندر 1,للندر1,للندر2",5-Nov-25,21,,,,
"$4,547.5",$134.0,65,,"AFN 8,713",پرداخت تعرفه صفایی جایداد دارالامان ( عین الدین ولد غوث الدین) همراه کمیشن بانکی بابت سال 1404,5-Nov-25,22,,,,
"$4,573.6",$26.1,66.4,,"AFN 1,730","خریداری کچالو, شلغم, زردک, مرچ تازه ,سیر و پیاز  به دفتر",5-Nov-25,23,,,,
"$4,799.5",$225.9,66.4,,"AFN 15,000",خریداری بخاری همره با پیپ به دفتر,5-Nov-25,24,,,,
"$4,802.2",$2.7,66.4,,AFN 180,خریداری یک کیلو کشمش و مرچ سیاه به دفتر,5-Nov-25,25,,,,
"$4,805.2",$3.0,66.4,,AFN 200,خریداری روغن مایع به دفتر ,5-Nov-25,26,,,,
"$4,810.7",$5.4,66.3,,AFN 360,خریداری کچالو و روغن به دفتر ,5-Nov-25,27,,,,
"$5,075.7",$265.0,66.5,$265.00,,پرداخت و تصفیه حساب باقیمانده خریداری اجناس به لفت تعمیر للندر کارته چهار,8-Nov-25,28,,,,
"$5,114.9",$39.2,66.3,,"AFN 2,600",پرداخت برای مبلایل تبدیلی جنراتور تعمیر کارته سه للندر 1,9-Nov-25,29,,,,
